Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,485.668418729808
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5287.66369446913
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4142.01855842917
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,11521.6097798453
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,41793.3188365378
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2524.94248263123
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,16679.5916624545
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,11795.1593866287
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4220.54032079145
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,30253.7142345626
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,57180.7794001614
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51486.5755014824
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4739.84171028393
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,33077.3918342474
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,24086.3016866837
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1991.48326659412
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,17782.8747318576
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6360.06247301284
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,47549.2080494546
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4927.19422373932
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1241.8252980053
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,113050.73688163
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3243.47743748718
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3548.59078021899
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6070.35298018619
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7503.8785883646
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,9151.38173161536
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31628.4762566009
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,9446.70077185518
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,804.500537821516
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,238.034309554717
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3616.46066604314
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1512.12698889384
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1585.24053445546
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,46548.6384108296
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,86180.5396948445
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,475.953813864813
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,726.151007088549
